"* Required Fields","* Datos Requeridos"
"Fill Detail","Completa los campos requeridos"
"Order ID", "ID de la orden"
"Name","Nombre"
"Surname","Apellido"
"Email","Email"
"Comment","Comentarios"
"Send","Enviar"
"Go back","Volver"
"Check your data please, your ID is incorrect","Revise los datos ingresados, el ID es incorrecto"
"Check your data please, you entered something wrong","Revise los datos ingresados, hay algo incorrecto"
"Congrats your product can be refound you will be notify with next steps","Felicidades! tu producto se puede devolver, seras notificado con los siguientes pasos"
"Sorry! Your product cannot be refound, 10 days has passed since your purchase","Disculpe! Su producto no puede devolverse, han pasado 10 dias desde su compra"
"The status of your product is canceled, we cannot refound your product","El estado de su producto es CANCELADO, no podremos devolver su producto"
"The status of your product is already pending of devolution, please check your email for further notice. Thank you!","El estado de su producto es PEDIENTE DE DEVOLUCION, por favor chequea su mail para mas noticias"
"Hi","Hola"